,Unnamed: 0,statute,description,subject_no,trr_report_id
66,66,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295524.0,96484
67,67,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19295524.0,96484
68,68,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295524.0,96484
69,69,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295524.0,96485
70,70,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19295524.0,96485
71,71,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295524.0,96485
72,72,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295524.0,96486
73,73,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19295524.0,96486
74,74,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295524.0,96486
75,75,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19295878.0,96487
76,76,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19295878.0,96487
77,77,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295878.0,96487
78,78,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19295878.0,96487
79,79,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295878.0,96487
80,80,8-24-020,SALE OR POSSESSION OF DEADLY WEAPON,19295878.0,96487
81,81,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19295878.0,96489
82,82,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19295878.0,96489
83,83,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295878.0,96489
84,84,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19295878.0,96489
85,85,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295878.0,96489
86,86,8-24-020,SALE OR POSSESSION OF DEADLY WEAPON,19295878.0,96489
87,87,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19295867.0,96490
88,88,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295867.0,96490
89,89,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295867.0,96490
90,90,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19295867.0,96491
91,91,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295867.0,96491
92,92,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295867.0,96491
93,93,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295913.0,96492
94,94,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295913.0,96492
95,95,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295913.0,96492
96,96,9-80-180,OBSTRUCTION OF TRAFFIC BY NON-MOTORIST,19295913.0,96492
97,97,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19295913.0,96493
98,98,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295913.0,96493
99,99,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19295913.0,96493
100,100,9-80-180,OBSTRUCTION OF TRAFFIC BY NON-MOTORIST,19295913.0,96493
101,101,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296025.0,96496
102,102,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296025.0,96496
103,103,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296025.0,96497
104,104,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296025.0,96497
105,105,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19295730.0,96498
106,106,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295730.0,96498
107,107,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19295730.0,96498
108,108,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19295730.0,96499
109,109,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19295730.0,96499
110,110,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19295730.0,96499
111,111,720 ILCS 5.0/12-2-A,AGGRAVATED ASSAULT/PUBLIC PROP,19296130.0,96500
112,112,720 ILCS 5.0/18-3-A,VEHICULAR HIJACKING,19296130.0,96500
113,113,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296130.0,96500
114,114,720 ILCS 5.0/31-1A-A,DISARM PC OFFICER/CORR INST EMP,19296130.0,96500
115,115,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19296130.0,96500
116,116,720 ILCS 5.0/12-2-A,AGGRAVATED ASSAULT/PUBLIC PROP,19296130.0,96501
117,117,720 ILCS 5.0/18-3-A,VEHICULAR HIJACKING,19296130.0,96501
118,118,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296130.0,96501
119,119,720 ILCS 5.0/31-1A-A,DISARM PC OFFICER/CORR INST EMP,19296130.0,96501
120,120,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19296130.0,96501
121,121,720 ILCS 5.0/12-2-A,AGGRAVATED ASSAULT/PUBLIC PROP,19296130.0,96502
122,122,720 ILCS 5.0/18-3-A,VEHICULAR HIJACKING,19296130.0,96502
123,123,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296130.0,96502
124,124,720 ILCS 5.0/31-1A-A,DISARM PC OFFICER/CORR INST EMP,19296130.0,96502
125,125,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19296130.0,96502
126,126,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19296186.0,96503
127,127,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296186.0,96503
128,128,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296186.0,96503
129,129,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19296189.0,96504
130,130,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296189.0,96504
131,131,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296189.0,96504
132,132,625 ILCS 5.0/11-1427.4-3,ATTEMPT TO FLEE/ELUDE OFFICER,19296197.0,96506
133,133,625 ILCS 5.0/11-502-B,IVC - TRANSPORT/CARRY ALCOHOL LIQUOR/PASSENGER,19296197.0,96506
134,134,625 ILCS 5.0/11-801,IVC - IMPROPER TURN AT INTERSECTION,19296197.0,96506
135,135,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296197.0,96506
136,136,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19296197.0,96506
137,137,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19296197.0,96506
138,138,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSSES WEAPON/2ND+,19296197.0,96506
139,139,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296197.0,96506
140,140,625 ILCS 5.0/11-501-A-2,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,19296233.0,96508
141,141,625 ILCS 5.0/12-405-C,IVC - USE UNSAFE TIRE 1ST & 2ND,19296233.0,96508
142,142,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19296309.0,96509
143,143,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296309.0,96509
144,144,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296309.0,96509
145,145,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19296309.0,96509
146,146,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296309.0,96509
147,147,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19296309.0,96509
148,148,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19296309.0,96510
149,149,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296309.0,96510
150,150,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296309.0,96510
151,151,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19296309.0,96510
152,152,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296309.0,96510
153,153,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19296309.0,96510
154,154,625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19296356.0,96511
155,155,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19296356.0,96511
156,156,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296356.0,96511
157,157,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296356.0,96511
158,158,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296356.0,96511
159,159,9-40-130,OBSTRUCTION OF TRAFFIC BY MOTORIST,19296356.0,96511
160,160,625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19296356.0,96512
161,161,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19296356.0,96512
162,162,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296356.0,96512
163,163,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296356.0,96512
164,164,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296356.0,96512
165,165,9-40-130,OBSTRUCTION OF TRAFFIC BY MOTORIST,19296356.0,96512
166,166,625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19296356.0,96513
167,167,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19296356.0,96513
168,168,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296356.0,96513
169,169,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296356.0,96513
170,170,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296356.0,96513
171,171,9-40-130,OBSTRUCTION OF TRAFFIC BY MOTORIST,19296356.0,96513
172,172,625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19296356.0,96514
173,173,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19296356.0,96514
174,174,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296356.0,96514
175,175,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296356.0,96514
176,176,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296356.0,96514
177,177,9-40-130,OBSTRUCTION OF TRAFFIC BY MOTORIST,19296356.0,96514
178,178,10-8-515,SOLICITING UNLAWFUL BUSINESS,19296377.0,96515
179,179,720 ILCS 5.0/24-1.6-A-1,AGG UUW/VEHICLE/LOADED FIREARM,19296377.0,96515
180,180,720 ILCS 5.0/24-1.6-A-2,AGG UUW/PERSON/<21            ,19296377.0,96515
181,181,720 ILCS 5.0/24-5-B,POSS FIREARM W/DEFACED SERIAL NUMBER,19296377.0,96515
182,182,625 ILCS 5.0/11-402-A,LEAVING THE SCENE,19296356.0,96516
183,183,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19296356.0,96516
184,184,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19296356.0,96516
185,185,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296356.0,96516
186,186,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296356.0,96516
187,187,9-40-130,OBSTRUCTION OF TRAFFIC BY MOTORIST,19296356.0,96516
188,188,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19296380.0,96517
189,189,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19296380.0,96517
190,190,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19296380.0,96518
191,191,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19296380.0,96518
192,192,720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19296460.0,96519
193,193,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296460.0,96519
194,194,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19296460.0,96519
195,195,720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19296460.0,96520
196,196,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296460.0,96520
197,197,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19296460.0,96520
198,198,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19296683.0,96521
199,199,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296683.0,96521
200,200,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296683.0,96521
201,201,9-76-050(C),"LIGHT, TAIL LIGHTS REQUIRED",19296683.0,96521
202,202,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19296683.0,96521
203,203,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19296683.0,96522
204,204,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296683.0,96522
205,205,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19296683.0,96522
206,206,9-76-050(C),"LIGHT, TAIL LIGHTS REQUIRED",19296683.0,96522
207,207,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19296683.0,96522
208,208,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19296706.0,96523
209,209,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19296706.0,96523
210,210,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19296719.0,96524
211,211,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19296929.0,96530
212,212,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296929.0,96530
213,213,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19296929.0,96530
214,214,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19296929.0,96531
215,215,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296929.0,96531
216,216,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19296929.0,96531
217,217,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19296929.0,96532
218,218,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296929.0,96532
219,219,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19296929.0,96532
220,220,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19296929.0,96533
221,221,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19296929.0,96533
222,222,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19296929.0,96533
223,223,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19297120.0,96537
224,224,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19297120.0,96537
225,225,720 ILCS 5.0/24-5-B,POSS FIREARM W/DEFACED SERIAL NUMBER,19297120.0,96537
226,226,720 ILCS 5.0/25-5-A-4,STREETGANG CONTACT/PAROLE,19297120.0,96537
227,227,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19297120.0,96537
228,228,8-26-030-A,INITIAL GUN OFFENDER REGISTRATION,19297120.0,96537
229,229,8-4-030,DRINKING ALCOHOL ON THE PUBLIC WAY,19297120.0,96537
230,230,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19297127.0,96538
231,231,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19297127.0,96538
232,232,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19297127.0,96538
233,233,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297127.0,96538
234,234,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19297127.0,96538
235,235,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19297161.0,96540
236,236,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19297161.0,96540
237,237,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,19297485.0,96545
238,238,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19297485.0,96545
239,239,720 ILCS 5.0/24-1.6-A-2,AGG UUW/ON PERSON,19297530.0,96546
240,240,720 ILCS 5.0/24-5-B,POSS FIREARM W/DEFACED SERIAL NUMBER,19297530.0,96546
241,241,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297530.0,96546
242,242,720 ILCS 5.0/12-3.05-D-6,AGG BATTERY/GOVERNMENT EMP,19297625.0,96547
243,243,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297625.0,96547
244,244,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19297670.0,96548
245,245,720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,19297670.0,96548
246,246,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297670.0,96548
247,247,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19297670.0,96548
248,248,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19297345.0,96549
249,249,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19297345.0,96549
250,250,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON/PAROLE-POSSESS/USE FIREARM PRIOR,19297345.0,96549
251,251,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19297345.0,96549
252,252,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19297696.0,96550
253,253,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297696.0,96550
254,254,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19297696.0,96551
255,255,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19297696.0,96551
