#,weapon_type,firearm_caliber,weapon_description,trr_report_id
69,OTHER (SPECIFY),,GLASS BOTTLE AND TABLET,96580
70,HANDS/FISTS,,,96581
71,OTHER (SPECIFY),,GLASS BOTTLE,96581
72,OTHER (SPECIFY),,RAISED GLASS BOTTLE,96581
73,HANDS/FISTS,,,96585
74,"MOUTH (SPIT,BITE,ETC)",,,96586
75,OTHER (SPECIFY),,HEADBUTT,96586
76,VERBAL THREAT (ASSAULT),,,96586
77,HANDS/FISTS,,,96588
78,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,96589
79,HANDS/FISTS,,,96590
80,FIREARM - SEMI-AUTOMATIC,UNKNOWN,,96592
81,HANDS/FISTS,,,96594
82,KNIFE/OTHER CUTTING INSTRUMENT,,,96595
83,KNIFE/OTHER CUTTING INSTRUMENT,,,96596
84,OTHER (SPECIFY),,KNIFE,96596
85,FEET,,,96602
86,HANDS/FISTS,,,96602
87,OTHER (SPECIFY),,GARDEN TOOL BLACK HANDLE WITH THREE SHARP BLADES ,96608
88,OTHER (SPECIFY),,ATTEMPTED TO ACCELERATE CAR,96612
89,OTHER (SPECIFY),,ATTEMPTED TO ACCELERATE CAR,96613
90,OTHER (SPECIFY),,ATTEMPTED TO ACCELERATE CAR,96614
91,OTHER (SPECIFY),,ATTEMPTED TO ACCELERATE CAR,96615
92,FIREARM - SEMI-AUTOMATIC, 45 ACP,GLOCK,96620
93,"MOUTH (SPIT,BITE,ETC)",,,96623
94,"MOUTH (SPIT,BITE,ETC)",,,96624
95,FIREARM - SEMI-AUTOMATIC, 9 MM,,96625
96,FEET,,,96626
97,FIREARM - SEMI-AUTOMATIC, 9 MM,,96626
98,HANDS/FISTS,,,96632
99,"MOUTH (SPIT,BITE,ETC)",,,96632
100,HANDS/FISTS,,,96634
101,VERBAL THREAT (ASSAULT),,,96636
102,VERBAL THREAT (ASSAULT),,,96637
103,VERBAL THREAT (ASSAULT),,,96638
104,VERBAL THREAT (ASSAULT),,,96639
105,VERBAL THREAT (ASSAULT),,,96651
106,OTHER (SPECIFY),,BLADING STANCE AND BALLING FISTS,96653
107,VERBAL THREAT (ASSAULT),,,96653
108,FIREARM - SEMI-AUTOMATIC, 9 MM,,96658
109,HANDS/FISTS,,,96659
110,VERBAL THREAT (ASSAULT),,,96659
111,"MOUTH (SPIT,BITE,ETC)",,,96664
112,HANDS/FISTS,,,96670
113,OTHER (SPECIFY),,OFFENDER PUSHED P.O. CUTRONE ,96670
114,VERBAL THREAT (ASSAULT),,,96670
115,HANDS/FISTS,,,96671
116,VERBAL THREAT (ASSAULT),,,96671
117,FEET,,,96672
118,HANDS/FISTS,,,96672
119,HANDS/FISTS,,,96674
120,OTHER (SPECIFY),,THRASHED ARMS AND LEGS,96674
121,HANDS/FISTS,,,96684
122,FIREARM - SEMI-AUTOMATIC,45 CAL,,96687
123,OTHER (SPECIFY),,COMBATIVE STANCE,96687
124,OTHER (SPECIFY),OTHER,SMITH & WESSON PLET GUN,96688
125,HANDS/FISTS,,,96694
126,VERBAL THREAT (ASSAULT),,,96694
127,FEET,,,96699
128,OTHER (SPECIFY),,OFFENDER STRUCK R/O WITH ELBOW,96700
129,FEET,,,96701
130,OTHER (SPECIFY),,FLICKED CIGARETTE ASHES IN P.O.FACE ,96703
131,FEET,,,96708
132,OTHER (SPECIFY),,VEHICLE,96712
133,VEHICLE - OFFICER STRUCK WITH VEHICLE,,,96712
134,HANDS/FISTS,,,96720
135,HANDS/FISTS,,,96721
136,OTHER (SPECIFY),,ADVANCED TOWARDS R/O IN MENACING MANNER,96721
137,HANDS/FISTS,,,96722
138,KNIFE/OTHER CUTTING INSTRUMENT,,,96722
139,OTHER (SPECIFY),,CHARGED AT OFFICER WITH CLENCHED FISTS,96722
140,VERBAL THREAT (ASSAULT),,,96722
141,OTHER (SPECIFY),,CHAIR,96723
142,FEET,,,96725
143,FEET,,,96726
144,HANDS/FISTS,,,96726
145,OTHER (SPECIFY),,CHAIR-WOODEN STOOL,96727
146,OTHER (SPECIFY),,CHAIR/STOOL THREAT,96727
147,FEET,,,96728
148,HANDS/FISTS,,,96728
149,FEET,,,96739
150,HANDS/FISTS,,,96742
151,FEET,,,96743
152,HANDS/FISTS,,,96743
153,FEET,,,96744
154,FEET,,,96745
155,FEET,,,96753
156,HANDS/FISTS,,,96753
157,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,96753
158,VERBAL THREAT (ASSAULT),,,96753
159,FEET,,,96754
160,HANDS/FISTS,,,96754
161,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,96754
162,VERBAL THREAT (ASSAULT),,,96754
163,FEET,,,96757
164,FEET,,,96759
165,FEET,,,96760
166,VERBAL THREAT (ASSAULT),,,96760
167,HANDS/FISTS,,,96761
168,VERBAL THREAT (ASSAULT),,,96761
169,"MOUTH (SPIT,BITE,ETC)",,,96765
170,VERBAL THREAT (ASSAULT),,,96765
171,VERBAL THREAT (ASSAULT),,,96768
172,HANDS/FISTS,,,96769
173,HANDS/FISTS,,,96772
174,OTHER (SPECIFY),,BRICK,96772
175,OTHER (SPECIFY),,THREATENED WITH A BRICK,96772
176,OTHER (SPECIFY),,BRICK,96773
177,OTHER (SPECIFY),,GLASS BOTTLE,96773
178,OTHER (SPECIFY),,MENACING MOTIONS WITH WEAPONS IN BOTH HANDS,96773
179,HANDS/FISTS,,,96774
180,OTHER (SPECIFY),,FINGERNAILS,96774
181,VERBAL THREAT (ASSAULT),,,96774
182,HANDS/FISTS,,,96776
183,HANDS/FISTS,,,96777
184,VERBAL THREAT (ASSAULT),,,96779
185,VERBAL THREAT (ASSAULT),,,96783
186,OTHER (SPECIFY),,MEDAL CYLINDRICAL MICROPHONE ,96785
187,HANDS/FISTS,,,96786
188,OTHER (SPECIFY),,MEDAL CYLINDER OBJECT,96786
189,OTHER (SPECIFY),,METAL OBJECT,96786
190,FEET,,,96787
191,FEET,,,96793
192,HANDS/FISTS,,,96793
193,VERBAL THREAT (ASSAULT),,,96793
194,HANDS/FISTS,,,96795
195,FEET,,,96797
196,FEET,,,96798
197,OTHER (SPECIFY),,OFFICER DRAGGED BY OFFENDERS VEHICLE ,96803
198,FEET,,,96806
199,HANDS/FISTS,,,96806
200,FIREARM - REVOLVER, 38 CAL,,96808
201,HANDS/FISTS,,,96809
202,VERBAL THREAT (ASSAULT),,,96809
203,HANDS/FISTS,,,96834
204,OTHER (SPECIFY),,PUSHED,96834
205,HANDS/FISTS,,,96837
206,HANDS/FISTS,,,96843
207,FEET,,,96844
208,HANDS/FISTS,,,96844
209,"MOUTH (SPIT,BITE,ETC)",,,96844
210,VERBAL THREAT (ASSAULT),,,96844
211,KNIFE/OTHER CUTTING INSTRUMENT,,,96845
212,KNIFE/OTHER CUTTING INSTRUMENT,,,96846
213,KNIFE/OTHER CUTTING INSTRUMENT,,,96847
214,KNIFE/OTHER CUTTING INSTRUMENT,,,96848
215,FIREARM - SEMI-AUTOMATIC,380 ACP,,96849
216,OTHER (SPECIFY),,NONE,96849
217,"MOUTH (SPIT,BITE,ETC)",,,96854
218,OTHER (SPECIFY),,CHARGED PO AGGRESSIVELY,96856
219,VERBAL THREAT (ASSAULT),,,96856
220,KNIFE/OTHER CUTTING INSTRUMENT,,,96857
221,OTHER (SPECIFY),,SHOVED R/O WITH HANDS AND BODY,96862
222,FEET,,,96864
223,HANDS/FISTS,,,96880
224,FEET,,,96881
225,OTHER (SPECIFY),,ATTEMPTED WRESTLE WITH AO,96884
226,OTHER (SPECIFY),,SPIT AT,96888
227,FIREARM - SEMI-AUTOMATIC,UNKNOWN,,96892
228,OTHER (SPECIFY),,BLOOD,96893
229,OTHER (SPECIFY),,PATHOGEN,96893
230,FEET,,,96894
231,HANDS/FISTS,,,96894
232,FIREARM - SEMI-AUTOMATIC,380 ACP,,96895
233,OTHER (SPECIFY),,POINTING FIREARM AT OFFICER,96895
234,FEET,,,96896
235,HANDS/FISTS,,,96896
236,VERBAL THREAT (ASSAULT),,,96901
237,HANDS/FISTS,,,96903
238,HANDS/FISTS,,,96904
239,"MOUTH (SPIT,BITE,ETC)",,,96904
240,HANDS/FISTS,,,96905
241,FIREARM - SEMI-AUTOMATIC,40 S&W,,96911
242,OTHER (SPECIFY),,SCISSORS,96912
243,KNIFE/OTHER CUTTING INSTRUMENT,UNKNOWN,SCISSORS,96913
244,OTHER (SPECIFY),,SCISSORS,96913
245,BLUNT INSTRUMENT,,,96919
246,FEET,,,96919
247,HANDS/FISTS,,,96919
248,OTHER (SPECIFY),,FIGHT STANCE,96920
249,VERBAL THREAT (ASSAULT),,,96920
250,OTHER (SPECIFY),,THREW BOTTLE AT P.O.,96921
251,HANDS/FISTS,,,96927
252,HANDS/FISTS,,,96930
253,OTHER (SPECIFY),,GUN GESTURED,96931
254,VERBAL THREAT (ASSAULT),,,96931
255,OTHER (SPECIFY),,GUN GESTURE,96932
256,VERBAL THREAT (ASSAULT),,,96932
257,VERBAL THREAT (ASSAULT),,,96933
258,FIREARM - SEMI-AUTOMATIC,45 CAL,,96934
259,FIREARM - SEMI-AUTOMATIC,45 CAL,,96935
260,FIREARM - SEMI-AUTOMATIC,45 CAL,,96936
261,FIREARM - SEMI-AUTOMATIC,45 CAL,,96937
262,FIREARM - SEMI-AUTOMATIC,45 CAL,,96938
263,HANDS/FISTS,,,96941
264,VERBAL THREAT (ASSAULT),,,96941
265,FEET,,,96942
266,HANDS/FISTS,,,96942
267,HANDS/FISTS,,,96945
268,OTHER (SPECIFY),,PUSH WITH 2 OPEN HANDS ,96945
269,VERBAL THREAT (ASSAULT),,,96947
270,HANDS/FISTS,,,97234
271,OTHER (SPECIFY),,CONCEALED HANDS AFTER TRAFFIC PURSUIT,96949
272,HANDS/FISTS,,,96953
273,OTHER (SPECIFY),,1 CAN MACE,96955
274,FEET,,,96961
275,VERBAL THREAT (ASSAULT),,,96961
276,FEET,,,96962
277,VERBAL THREAT (ASSAULT),,,96962
278,HANDS/FISTS,,,96966
279,"MOUTH (SPIT,BITE,ETC)",,,96967
280,FEET,,,96968
281,FEET,,,96969
282,HANDS/FISTS,,,96976
283,HANDS/FISTS,,,96980
284,OTHER (SPECIFY),,AGG POSTURE WHILE ADVANCING,96980
285,VERBAL THREAT (ASSAULT),,,96980
286,HANDS/FISTS,,,96984
287,HANDS/FISTS,,,96987
288,"MOUTH (SPIT,BITE,ETC)",,,96990
289,FEET,,,96991
290,"MOUTH (SPIT,BITE,ETC)",,,96991
291,HANDS/FISTS,,,96995
292,VERBAL THREAT (ASSAULT),,,96999
293,HANDS/FISTS,,,97001
294,KNIFE/OTHER CUTTING INSTRUMENT,,,97003
295,FIREARM - SEMI-AUTOMATIC,380 ACP,,97005
296,FIREARM - SEMI-AUTOMATIC, 9 MM,,97008
297,FIREARM - SEMI-AUTOMATIC, 9 MM,,97009
298,OTHER (SPECIFY),,BLADED STANCE W/ CLENCHED FIST,97011
299,"MOUTH (SPIT,BITE,ETC)",,,97014
300,HANDS/FISTS,,,97016
301,FIREARM - SEMI-AUTOMATIC, 9 MM,,97020
302,FIREARM - REVOLVER, 38 CAL,,97021
303,FIREARM - REVOLVER, 38 CAL,,97023
304,FIREARM - SEMI-AUTOMATIC, 9 MM,,97025
305,FIREARM - SEMI-AUTOMATIC, 9 MM,,97026
306,FIREARM - SEMI-AUTOMATIC, 9 MM,,97027
307,FIREARM - SEMI-AUTOMATIC, 9 MM,,97029
308,VERBAL THREAT (ASSAULT),,,97029
309,VERBAL THREAT (ASSAULT),,,97030
310,HANDS/FISTS,,,97031
311,"MOUTH (SPIT,BITE,ETC)",,,97031
312,VERBAL THREAT (ASSAULT),,,97031
313,VERBAL THREAT (ASSAULT),,,97032
314,VERBAL THREAT (ASSAULT),,,97033
315,KNIFE/OTHER CUTTING INSTRUMENT,,,97043
316,KNIFE/OTHER CUTTING INSTRUMENT,,,97044
317,FEET,,,97046
318,HANDS/FISTS,,,97046
319,FEET,,,97048
320,HANDS/FISTS,,,97048
321,OTHER (SPECIFY),,THROWN ROCK,97050
322,FEET,,,97054
323,FIREARM - SEMI-AUTOMATIC, 9 MM,,97055
324,OTHER (SPECIFY),,FLAILING OF ARMS PULLING AWAY,97056
325,OTHER (SPECIFY),,SQUAD CAR STRUCK INTENTIONALLY WHILE R/SGT WAS A PASSENGER,97064
326,OTHER (SPECIFY),,OFFENDER INTENTIONALLY STRUCK R/O'S VEHICLE,97065
327,FEET,,,97069
328,HANDS/FISTS,,,97069
329,VERBAL THREAT (ASSAULT),,,97069
330,FEET,,,97071
331,HANDS/FISTS,,,97071
332,VERBAL THREAT (ASSAULT),,,97071
333,HANDS/FISTS,,,97080
334,OTHER (SPECIFY),,ELBOW,97080
335,OTHER (SPECIFY),,CANINE,97082
336,OTHER (SPECIFY),,THREW BEER CAN WHICH STRUCK PO IN FACE,97087
337,HANDS/FISTS,,,97094
338,"MOUTH (SPIT,BITE,ETC)",,,97095
339,"MOUTH (SPIT,BITE,ETC)",,,97096
340,"MOUTH (SPIT,BITE,ETC)",,,97097
341,FEET,,,97098
342,FEET,,,97101
343,HANDS/FISTS,,,97101
344,"MOUTH (SPIT,BITE,ETC)",,,97101
345,FEET,,,97112
346,OTHER (SPECIFY),,SUBJECT KICKED TOWARDS R/O SEVERAL TIMES,97112
347,VERBAL THREAT (ASSAULT),,,97112
348,VERBAL THREAT (ASSAULT),,,97114
349,FEET,,,97117
350,HANDS/FISTS,,,97117
351,FEET,,,97118
352,HANDS/FISTS,,,97118
353,OTHER (SPECIFY),,ATTEMPTED TO OBTAIN ANOTHER OFFICERS WEAPON,97118
354,VERBAL THREAT (ASSAULT),,,97118
355,FEET,,,97119
356,HANDS/FISTS,,,97119
357,VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,97121
358,OTHER (SPECIFY),,ASSUMED FIGHTING STANCE,97125
359,OTHER (SPECIFY),,ASSUMED FIGHTING STANCE.,97126
360,FIREARM - REVOLVER, 38 CAL,,97139
361,FIREARM - REVOLVER, 38 CAL,,97140
362,FIREARM - REVOLVER, 38 CAL,,97141
363,OTHER (SPECIFY),,WHEELCHAIR,97144
364,OTHER (SPECIFY),,WHEELCHAIR,97145
365,FIREARM - SEMI-AUTOMATIC,45 CAL,,97146
366,HANDS/FISTS,,,97151
367,FEET,,,97152
368,HANDS/FISTS,,,97152
369,OTHER (SPECIFY),,HEADBUTT,97152
370,FEET,,,97153
371,HANDS/FISTS,,,97153
372,OTHER (SPECIFY),,HEADBUTT,97153
373,FEET,,,97154
374,KNIFE/OTHER CUTTING INSTRUMENT,,SMALL BLACK KNIFE,97156
375,FIREARM - SEMI-AUTOMATIC,25 ACP,,97158
376,HANDS/FISTS,,,97158
377,OTHER (SPECIFY),,WRESTLED A/O,97158
378,FEET,,,97163
379,VERBAL THREAT (ASSAULT),,,97163
380,FIREARM - SEMI-AUTOMATIC,40 S&W,,97165
381,HANDS/FISTS,,,97165
382,OTHER (SPECIFY),,RAN AT OFFICER AND PUSH,97165
383,FIREARM - SEMI-AUTOMATIC,OTHER,40CAL,97166
384,HANDS/FISTS,,,97166
385,OTHER (SPECIFY),,PUSHED OFFICER,97166
386,HANDS/FISTS,,,97169
387,VERBAL THREAT (ASSAULT),,,97169
388,HANDS/FISTS,,,97193
389,HANDS/FISTS,,,97194
390,VEHICLE - OFFICER STRUCK WITH VEHICLE,,,97195
391,HANDS/FISTS,,,97196
392,HANDS/FISTS,,,97197
393,"MOUTH (SPIT,BITE,ETC)",,,97199
394,FEET,,,97200
395,FEET,,,97202
396,HANDS/FISTS,,,97210
397,FIREARM - SEMI-AUTOMATIC, 38 CAL,,97218
398,OTHER (SPECIFY),,THREW ALCOHOL ON P.O. ,97222
399,VERBAL THREAT (ASSAULT),,,97222
400,FIREARM - REVOLVER, 38 CAL,,97226
401,FIREARM - REVOLVER, 38 CAL,,97227
402,FIREARM - REVOLVER, 38 CAL,,97228
403,FIREARM - REVOLVER, 38 CAL,,97231
404,FEET,,,97236
405,OTHER (SPECIFY),,KICKING,97236
406,FIREARM - REVOLVER, 38 CAL,,97237
407,FEET,,,97238
408,"MOUTH (SPIT,BITE,ETC)",,,97241
409,HANDS/FISTS,,,97242
410,OTHER (SPECIFY),,THREATENED TO ATTACK OFFICERS,97242
411,VERBAL THREAT (ASSAULT),,,97242
412,HANDS/FISTS,,,97243
413,HANDS/FISTS,,,97244
414,FEET,,,97245
415,HANDS/FISTS,,,97245
416,"MOUTH (SPIT,BITE,ETC)",,,97245
417,VERBAL THREAT (ASSAULT),,,97245
418,HANDS/FISTS,,,97246
419,"MOUTH (SPIT,BITE,ETC)",,,97246
420,VERBAL THREAT (ASSAULT),,,97246
421,HANDS/FISTS,,,97248
422,VERBAL THREAT (ASSAULT),,,97248
423,HANDS/FISTS,,,97249
424,FEET,,,97252
425,HANDS/FISTS,,,97252
426,OTHER (SPECIFY),,CHOKE,97252
427,VERBAL THREAT (ASSAULT),,,97252
428,HANDS/FISTS,,,97253
429,HANDS/FISTS,,,97261
430,OTHER (SPECIFY),,ACTED AS IF HE WAS GOING TO THROW A CUP AT OFFICER,97261
431,OTHER (SPECIFY),,PLASTIC CUP,97262
432,OTHER (SPECIFY),,PLASTIC CUP,97263
433,HANDS/FISTS,,,97265
434,OTHER (SPECIFY),,KICKED AT OFFICER,97269
435,HANDS/FISTS,,,97273
436,HANDS/FISTS,,,97275
437,HANDS/FISTS,,,97277
438,VERBAL THREAT (ASSAULT),,,97279
439,"MOUTH (SPIT,BITE,ETC)",,,97282
440,HANDS/FISTS,,,97284
441,FEET,,,97285
442,HANDS/FISTS,,,97285
443,"MOUTH (SPIT,BITE,ETC)",,,97285
444,VERBAL THREAT (ASSAULT),,,97285
445,"MOUTH (SPIT,BITE,ETC)",,,97287
446,VERBAL THREAT (ASSAULT),,,97287
447,VERBAL THREAT (ASSAULT),,,97289
448,"MOUTH (SPIT,BITE,ETC)",,,97290
449,VERBAL THREAT (ASSAULT),,,97290
450,VERBAL THREAT (ASSAULT),,,97291
451,VERBAL THREAT (ASSAULT),,,97292
452,HANDS/FISTS,,,97296
453,OTHER (SPECIFY),,STRUCK WITH CLENCHED FIST,97296
454,VERBAL THREAT (ASSAULT),,,97297
455,HANDS/FISTS,,,97298
456,VERBAL THREAT (ASSAULT),,,97298
457,OTHER (SPECIFY),,SWINGING DOOR FRAME,97299
458,BLUNT INSTRUMENT,,PIECE OF BOARD,97300
459,FEET,,,97303
460,OTHER (SPECIFY),,STRUCK R/O WITH BODY,97305
461,VERBAL THREAT (ASSAULT),,,97305
462,VERBAL THREAT (ASSAULT),,,97308
463,HANDS/FISTS,,,97309
464,OTHER (SPECIFY),,LUNGED AT RO,97311
465,FIREARM - REVOLVER,22 LR,,97312
466,FEET,,,97316
467,HANDS/FISTS,,,97316
468,VERBAL THREAT (ASSAULT),,,97318
469,FIREARM - SEMI-AUTOMATIC, 9 MM,,97320
470,HANDS/FISTS,,,97326
471,KNIFE/OTHER CUTTING INSTRUMENT,,RAZOR BLADE,97329
472,OTHER (SPECIFY),,MACE,97329
473,HANDS/FISTS,,,97330
474,OTHER (SPECIFY),,HEAD-BUTT,97330
475,HANDS/FISTS,,,97331
476,VERBAL THREAT (ASSAULT),,,97331
477,OTHER (SPECIFY),,AGGRESSIVE ADVANCING TOWARD R/O,97333
478,VERBAL THREAT (ASSAULT),,,97333
479,FEET,,,97336
480,VERBAL THREAT (ASSAULT),,,97336
481,VERBAL THREAT (ASSAULT),,,97338
482,FEET,,,97339
483,VERBAL THREAT (ASSAULT),,,97339
484,OTHER (SPECIFY),,PUSHING WITH BODY,97348
485,HANDS/FISTS,,,97349
486,HANDS/FISTS,,,97350
487,OTHER (SPECIFY),,AGGRESIVELY STEPPED INTO PO,97353
488,FIREARM - SEMI-AUTOMATIC,UNKNOWN,BLACK HANDLE WITH SILVER BARREL,97355
489,HANDS/FISTS,,,97355
490,FEET,,,97358
491,OTHER (SPECIFY),,KICKING HIS LEGS,97358
492,FEET,,,97359
493,HANDS/FISTS,,,97359
494,HANDS/FISTS,,,97361
495,FEET,,,97362
496,HANDS/FISTS,,,97362
497,VERBAL THREAT (ASSAULT),,,97362
498,FIREARM - SEMI-AUTOMATIC,40 S&W,,97364
499,FIREARM - SEMI-AUTOMATIC,40 S&W,,97365
500,"MOUTH (SPIT,BITE,ETC)",,,97369
501,OTHER (SPECIFY),,THREATEN TO KILL MY FAMILY,97369
502,VERBAL THREAT (ASSAULT),,,97369
503,VERBAL THREAT (ASSAULT),,,97370
504,FIREARM - SEMI-AUTOMATIC, 9 MM,,97371
505,HANDS/FISTS,,,97377
506,VERBAL THREAT (ASSAULT),,,97377
507,HANDS/FISTS,,,97378
508,OTHER (SPECIFY),,CLENCHED FISTS,97378
509,VERBAL THREAT (ASSAULT),,,97378
510,HANDS/FISTS,,,97379
511,"MOUTH (SPIT,BITE,ETC)",,,97379
512,VERBAL THREAT (ASSAULT),,,97379
513,"MOUTH (SPIT,BITE,ETC)",,,97380
514,FIREARM - SEMI-AUTOMATIC,45 CAL,,97381
515,HANDS/FISTS,,,97382
516,BLUNT INSTRUMENT,,LARGE ROCKS,97384
517,BLUNT INSTRUMENT,,SANDBAG,97384
518,HANDS/FISTS,,,97384
519,"MOUTH (SPIT,BITE,ETC)",,,97384
520,OTHER (SPECIFY),,LARGE ROCKS/SANDBAG,97384
521,VERBAL THREAT (ASSAULT),,,97384
522,FEET,,,97385
523,HANDS/FISTS,,,97385
524,"MOUTH (SPIT,BITE,ETC)",,,97385
525,HANDS/FISTS,,,97387
526,BLUNT INSTRUMENT,,LARGE ROCK,97388
527,OTHER (SPECIFY),,STUCK IN BACK OF HEAD WITH ROCK,97388
528,"MOUTH (SPIT,BITE,ETC)",,,97389
529,OTHER (SPECIFY),,BITE ON RIGHT ARM,97389
530,HANDS/FISTS,,,97391
531,VERBAL THREAT (ASSAULT),,,97392
532,FIREARM - SEMI-AUTOMATIC,OTHER,SPRIGFIELD X-D- 40 CAL,97393
533,VERBAL THREAT (ASSAULT),,,97396
534,HANDS/FISTS,,,97399
535,OTHER (SPECIFY),,BLADED STANCE CLOSED FIST,97399
536,HANDS/FISTS,,,97402
537,HANDS/FISTS,,,97407
538,VERBAL THREAT (ASSAULT),,,97411
539,VERBAL THREAT (ASSAULT),,,97412
540,VERBAL THREAT (ASSAULT),,,97413
541,OTHER (SPECIFY),,TOOK A FIGHTING STANCE,97419
542,HANDS/FISTS,,,97425
543,HANDS/FISTS,,,97427
544,"MOUTH (SPIT,BITE,ETC)",,,97429
545,HANDS/FISTS,,,97432
546,OTHER (SPECIFY),,HEADBUTT,97432
547,FIREARM - SEMI-AUTOMATIC,45 CAL,,97444
548,VERBAL THREAT (ASSAULT),,,97445
549,HANDS/FISTS,,,97446
550,HANDS/FISTS,,,97447
551,"MOUTH (SPIT,BITE,ETC)",,,97451
552,HANDS/FISTS,,,97454
553,VERBAL THREAT (ASSAULT),,,97459
554,HANDS/FISTS,,,97461
555,HANDS/FISTS,,,97462
556,FEET,,,97463
557,FIREARM - SEMI-AUTOMATIC, 45 ACP,,97463
558,HANDS/FISTS,,,97463
559,FEET,,,97464
560,FIREARM - SEMI-AUTOMATIC,45 CAL,,97464
561,HANDS/FISTS,,,97464
562,HANDS/FISTS,,,97467
563,KNIFE/OTHER CUTTING INSTRUMENT,,,97468
564,OTHER (SPECIFY),,HEAD BUTT,97468
565,VERBAL THREAT (ASSAULT),,,97472
566,HANDS/FISTS,,,97477
567,VERBAL THREAT (ASSAULT),,,97479
568,VERBAL THREAT (ASSAULT),,,97480
569,OTHER (SPECIFY),,SUBJECT'S FINGERNAILS,97483
570,OTHER (SPECIFY),,HEAD,97496
571,FEET,,,97509
572,HANDS/FISTS,,,97512
573,OTHER (SPECIFY),,VERBAL THREAT,97513
574,HANDS/FISTS,,,97517
575,VERBAL THREAT (ASSAULT),,,97517
576,HANDS/FISTS,,,97518
577,OTHER (SPECIFY),,"CHEST, ARMS",97519
578,HANDS/FISTS,,,97521
579,VERBAL THREAT (ASSAULT),,,97521
580,"MOUTH (SPIT,BITE,ETC)",,,97522
581,OTHER (SPECIFY),,TACKLE/WRESTLE/ATTEMPT DISARM,97523
582,HANDS/FISTS,,,97529
583,HANDS/FISTS,,,97530
584,VERBAL THREAT (ASSAULT),,,97533
585,FEET,,,97535
586,VERBAL THREAT (ASSAULT),,,97537
587,OTHER (SPECIFY),,AGGRESSIVE FIGHTING STANCE,97543
588,FEET,,,97546
589,HANDS/FISTS,,,97546
590,"MOUTH (SPIT,BITE,ETC)",,,97546
591,VERBAL THREAT (ASSAULT),,,97546
592,OTHER (SPECIFY),,SCRATCHING,97547
